Date,Value
10/13/2017 16:00:00,77.59
10/16/2017 16:00:00,77.42
10/17/2017 16:00:00,77.47
10/18/2017 16:00:00,77.67
10/19/2017 16:00:00,77.57
10/20/2017 16:00:00,78.32
10/23/2017 16:00:00,78.99
10/24/2017 16:00:00,78.9
10/25/2017 16:00:00,78.58
10/26/2017 16:00:00,79.2
10/27/2017 16:00:00,84.37
10/30/2017 16:00:00,83.7
10/31/2017 16:00:00,84.36
11/1/2017 16:00:00,83.68
11/2/2017 16:00:00,83.35
11/3/2017 16:00:00,84.08
11/6/2017 16:00:00,84.2
11/7/2017 16:00:00,84.77
11/8/2017 16:00:00,84.14
11/9/2017 16:00:00,84.11
11/10/2017 16:00:00,83.79
11/13/2017 16:00:00,83.66
11/14/2017 16:00:00,83.5
11/15/2017 16:00:00,83.47
11/16/2017 16:00:00,83.1
11/17/2017 16:00:00,83.12
11/20/2017 16:00:00,82.4
11/21/2017 16:00:00,82.74
11/22/2017 16:00:00,83.83
11/24/2017 13:00:00,83.01
11/27/2017 16:00:00,83.31
11/28/2017 16:00:00,84.07
11/29/2017 16:00:00,84.71
11/30/2017 16:00:00,83.51
12/1/2017 16:00:00,83.6
12/4/2017 16:00:00,84.42
12/5/2017 16:00:00,81.34
12/6/2017 16:00:00,81.55
12/7/2017 16:00:00,82.54
12/8/2017 16:00:00,83.63
12/11/2017 16:00:00,84.29
12/12/2017 16:00:00,85.31
12/13/2017 16:00:00,85.74
12/14/2017 16:00:00,85.43
12/15/2017 16:00:00,85.26
12/18/2017 16:00:00,87.12
12/19/2017 16:00:00,86.35
12/20/2017 16:00:00,86.2
12/21/2017 16:00:00,86.05
12/22/2017 16:00:00,85.4
12/26/2017 16:00:00,85.31
12/27/2017 16:00:00,85.65
12/28/2017 16:00:00,85.9
12/29/2017 16:00:00,85.63
1/2/2018 16:00:00,86.13
1/3/2018 16:00:00,86.06
1/4/2018 16:00:00,86.59
1/5/2018 16:00:00,87.66
1/8/2018 16:00:00,88.2
1/9/2018 16:00:00,88.65
1/10/2018 16:00:00,87.86
1/11/2018 16:00:00,88.13
1/12/2018 16:00:00,88.67
1/16/2018 16:00:00,90.1
1/17/2018 16:00:00,89.08
1/18/2018 16:00:00,89.8
